building_id,tree_id,dist,cnt,b_loc,t_loc
17476,18449,37.59315137,27,0106000020E610000001000000010300000001000000100000007C9BD8E52E8B024061886B765C6B484080828E86008B0240050B4A2E5C6B4840C1856775CE8A024001B3B57C5C6B4840574F1A7CAD8A024069960B095D6B484055C05F66878A02408DD2B61C5E6B48402A4239F96B8A0240817141755F6B484086058F5F588A02404FCC3BF4606B4840FF29030F498A0240FB469A73626B484094662209488A0240905ABBEC636B484098B3D3B04E8A02408CDC5941666B4840F5F72C70698A0240CA2EA326686B48403F4D3190778A0240521A15EC686B4840A170D1A3988B02405BE07FC55F6B4840ACE668A3808B0240D70244685E6B4840535CBFE2588B02400694DC365D6B48407C9BD8E52E8B024061886B765C6B4840,0101000020E61000007067E6624B8B0240C67FD52D706B4840
3682302,11573,43.66526316,59,0106000020E61000000100000001030000000100000005000000D5116B4867810240DBC79CFD3E6C4840E2133EE49B81024077038D70396C48405D9D12DCAE800240F29C3051356C48405413D182778002401A22A74E3A6C4840D5116B4867810240DBC79CFD3E6C4840,0101000020E6100000310D5B7ADC810240D6170CEA4A6C4840
3682303,55026,151.10177582,0,0106000020E61000000100000001030000000100000009000000BA9AE233138402407B3804CC226C4840A2D8170E2984024095EAFFCC206C4840776762F71784024088848887206C48408A517FF42A840240E05CCC8F1E6C48404D3A3E414283024034FC0F3C1A6C4840D7A9F763348302407ACE609D1B6C4840C722C04E1E830240E076E84F1B6C4840D5C75CA70783024098C678B81D6C4840BA9AE233138402407B3804CC226C4840,0101000020E6100000EF1813D9FA81024032B6A7A0496C4840
3802522,300971,0,292,0106000020E6100000010000000103000000010000001600000024B606BE0D4A0240AA86059AFA6C4840CB57C36D464A0240D3D1BE80F96C48406F86942E684A02404CA444B8F86C484094787E10874A02404CFD9AFEF76C4840843635989C4A0240E6777E8FF76C4840A21E4B64B94A0240677DBB91F66C4840CD43D77DEC4A02401D6708E1F46C4840764B0B040D4B024054868F2EF36C484044C519992D4B024014B43138F16C484006D3613C364B0240D6F892EDF06C4840BF5BACFD074B0240A0BAD406F06C4840BD86A389FB4A0240B594582AEE6C484013B81D60B74A024043385777EF6C48408958C84B8C4A02403FF1316CF06C48407FA3FBD4574A02404ABC51D1F16C4840E1A83091394A0240B4DE34FCF26C484095A4D5772F4A02407A94686CF36C4840F4B35F32114A0240B3D6D69EF46C4840023F0AA9F849024037182FBBF56C48404E7C51ABDB490240BFED419BF76C4840191BCCBC024A0240FB810AA7F86C484024B606BE0D4A0240AA86059AFA6C4840,0101000020E610000093D1B7BBBD4A02401977BCFCF36C4840
3802523,300971,6.45589357,281,0106000020E61000000100000001030000000100000021000000ED50D755024C0240619D5FD9FB6C484044C519992D4B024014B43138F16C4840764B0B040D4B024054868F2EF36C4840CD43D77DEC4A02401D6708E1F46C4840A21E4B64B94A0240677DBB91F66C4840843635989C4A0240E6777E8FF76C4840945B6F8E7C4B024025F72B23036D484043D49A198C4B02403F435AF0036D484067ADCF749E4B024066C09CF2046D4840E6F39982634B024013197A93066D4840DE25BD14754B0240CD75A6E8076D4840A37780FF344B024029DB74270A6D484071AD30842E4B02406C7F31630A6D484024405DF71E4B024040528E9D096D48404B9EC55B094B0240DD7C31670A6D48406798CDB6004B0240F6625BB90A6D4840C24D78AC114B0240E61AC3950B6D4840A4D23E1DEA4A024070ED4EC70C6D4840EA9BA832644B0240EF7DE2BF136D4840F964FEBA864B02407F1A09AC126D48406FAE6FAE204C024072036FE50D6D48403FDCBE792B4C0240810CEE8B0D6D4840F03D34013C4C024057EC561C0D6D48409B8A19D9C64C02408D5100CD086D4840151E7F39874C02404C18C7AE056D484013F94749514C024042279448076D48406F27F92C264C024074A6BA1D056D4840A14DAD875D4C02408F032793036D48409E2D8712144C02403EDBD5AFFF6C4840E223FC23DE4B0240D5511742016D48402FF99E31CD4B0240D4659956006D484013648B23AE4B02407EDF8496FE6C4840ED50D755024C0240619D5FD9FB6C4840,0101000020E610000093D1B7BBBD4A02401977BCFCF36C4840
3802528,18449,20.84398644,29,0106000020E61000000100000001030000000100000010000000A170D1A3988B02405BE07FC55F6B48403F4D3190778A0240521A15EC686B48405643B1DC828A02406F138C8B696B48406E61A1F19A8A0240A341B6866A6B484018DF7761738A02401FEB99D66B6B4840B2F083368F8A02407EC051F76B6B484096B581D8BA8A0240885DDBAF6B6B4840B56E67B0F78A02403AB2F9166B6B484000836B70198B024051FE433F6A6B484054C8CD6F4C8B0240A98CDFE8686B484061663CC0748B02402196C86B676B4840B96C37769C8B02409E99D666656B484057274614B88B0240C4256F24636B4840DBE69FD5C38B0240AE75A695616B484046BD54F2BB8B02403037A7BA616B4840A170D1A3988B02405BE07FC55F6B4840,0101000020E61000007067E6624B8B0240C67FD52D706B4840
3802529,111028,41.54085304,19,0106000020E6100000010000000103000000010000000900000090684330B889024084502CF95A6B4840809E7A4B9C8902409771E4235B6B48407317B2948C890240890775225B6B4840619F9A7E828902401383288B5B6B4840C05ADDD04F890240FB3D6BC45E6B484008389FB01B8902405D142E14626B48402E5E3D1810890240A820D2DE626B4840676A5A4B258902405C05E7F7636B484090684330B889024084502CF95A6B4840,0101000020E6100000A5D2FD2A43880240834F87E46B6B4840
3802530,36905,27.65652177,37,0106000020E6100000010000000103000000020000004B000000263FBD6D368B0240D15CB9F64C6B48407598B26CDD8A0240D328F22F486B48401A8B9DC4D18A0240F3F30646496B4840748FD440CB8A02400D180EAF496B4840379CED66968A0240E821D80D4D6B484077A81D23828A0240510268504E6B484077E7177B8C8A024036890416506B4840DCE7E4E78E8A02403CD65926526B48408858EB1A8E8A0240BD74E68F526B4840B9A4CE3C8A8A0240A559AEF9536B484069C2BE1D7A8A02400DC424EA556B4840AEA68EA6788A024072CD4617566B484099DD8509688A02405C0118F8566B4840F01EA56F578A02407CB7D2C9576B48404F51EF1E418A024097DE079B586B4840B4BFB328348A02407C681A1A596B48400FFA744A1A8A02400B545AD4596B4840423A987D008A02402D9C9E3B5A6B48400893BD47EA890240C89F948C5A6B48406EFC2E46E58902409BFBAA935A6B484090684330B889024084502CF95A6B4840676A5A4B258902405C05E7F7636B4840740F6599308902408E03D38F646B48409D0B83253B8902406EF07C5C656B484053E172665B8902406863A2D7646B4840A11D91977B890240121F389E646B484044CBB94C9F890240936706A9646B484069C26561BA8902407A56F1F6646B48408FA929A1D989024071E095D4656B4840C1724173ED8902400D362FB1666B4840844EACB4F889024034EF7485676B48400C700EC8FC890240431A5786686B4840CEF8D288FC890240058118B4696B48402F0469AFF88902400D993E076B6B4840B2299A5EEC890240CD565DD96B6B48405F8D506DCD890240E70BAFED6C6B48404771373EFE89024049F8842F6F6B48402390CBAD688A02405D1789C66B6B484018DF7761738A02401FEB99D66B6B48406E61A1F19A8A0240A341B6866A6B48405643B1DC828A02406F138C8B696B48403F4D3190778A0240521A15EC686B4840F5F72C70698A0240CA2EA326686B484098B3D3B04E8A02408CDC5941666B484094662209488A0240905ABBEC636B4840FF29030F498A0240FB469A73626B484086058F5F588A02404FCC3BF4606B48402A4239F96B8A0240817141755F6B484055C05F66878A02408DD2B61C5E6B4840574F1A7CAD8A024069960B095D6B4840C1856775CE8A024001B3B57C5C6B484080828E86008B0240050B4A2E5C6B48407C9BD8E52E8B024061886B765C6B4840535CBFE2588B02400694DC365D6B4840ACE668A3808B0240D70244685E6B4840A170D1A3988B02405BE07FC55F6B484046BD54F2BB8B02403037A7BA616B4840DBE69FD5C38B0240AE75A695616B48403ED96426C68B02409DE29DC2606B484073ACE3F5558C0240468D563E5C6B484048A99D19238C024038AD9C83596B4840780A5110008C0240D537AFAD596B4840871B5C6EE88B02409964F9F6596B4840FCD32C96D68B0240F11642E6596B48405B8E54C4BF8B02405819E9B6596B4840670EA7C29F8B02406C82030E596B4840E2140A63838B024038E1001A586B484081C70310718B0240BDCE8DEA566B484008413C4F678B02402ADCE2BB556B4840F13915F1638B024081AB9CC2546B4840549CDCC8628B02404BEA8C76536B48409710904A6A8B024049C21CBA516B484031C7A7767E8B02403921B5E8506B484036142F635A8B02400F0A62374F6B4840263FBD6D368B0240D15CB9F64C6B484050000000BA118FF9E38A02400ABECF044B6B48407930DC25578B0240BCFBD70A516B484004ADF91C478B0240EF50B191526B4840F88D8473428B0240DCA57A5D546B4840BA983641448B024064AE96FC556B48408459E53A448B02403DA0C31A566B4840C936BD4C488B02402DF93023576B4840807FCE13578B02406AC02334586B484052E384F76C8B0240457B756B596B4840FC0D2734878B0240EDE1BA575A6B4840A3F7F7C4A58B024059A4950F5B6B4840D880C268BF8B02402EC9746C5B6B484069B063CEE88B02408F0BF4955B6B484067FA8D1A068C0240752189895B6B4840A498A5B4188C0240C46582655B6B4840C80100DB268C02405EFEC60C5C6B484088D873F2E38B024084F124535E6B48403C2C4D6AC18B02405D07C67D5F6B4840DF307B48A78B024056BA41115E6B4840525847A18B8B0240DC8FC4155D6B4840EEAE9ACD728B0240C33C42405C6B484023010738598B0240BDD77D9F5B6B4840CCB1B0B5378B02407D82FD505B6B4840063A7E972B8B0240AEFBB4315B6B48409B9CEB060F8B024066748E275B6B48404F0A4BDFF88A0240F7BC9F345B6B4840118981B4E28A02400376C7505B6B4840DC07DCAFCE8A024065F995655B6B484022F64880C28A02405DF548995B6B484074D1DF76B38A0240D7F22DC55B6B48407FF45D29938A02405D1E63865C6B4840C6D5C6908F8A0240139E3CA45C6B4840B70E79ED6F8A02406149DCA15D6B4840730911CB4E8A0240BE1856F25E6B4840FE4DA017468A0240EEBCF98F5F6B48404C47EE04398A02409683D696606B4840F4AB6C15308A024083162553626B48402D625DA82F8A0240D853AC5B646B4840DC71BC55308A0240BD6E0089646B48406CAD836C318A02400FC20B28666B4840F5BF2F9B3E8A024089BD8C04686B484063A901214E8A02407142D8EF686B4840832D828D6C8A0240E10736556A6B4840593BEBFE448A02409F568E9D6B6B4840BB3AAE81278A02406DACD4936C6B4840958A61BF0E8A0240EA35566B6B6B48409F090D71158A0240565C89276A6B4840C26C4516238A024081BB3FCE696B484090932C4F238A02406245ABBE686B484035E10E141D8A02404A80ADCC676B484061D3F96F158A0240DCA1ECC3666B4840903BE9EE058A0240A858FFC1656B4840120DA8D3F7890240839CEBE5646B48407254F845E3890240DF4BE31F646B48409527E3FFC389024038B76B60636B48405D97B7E1AD8902408B1B3940636B48405BDC7EE6A38902402A9BAD28636B4840F08D1CC59C8902407422F018636B4840D328E49B81890240FD34172D636B4840D95D5E11728902404B2D6D58626B4840068114478189024006EA4D59616B484019E8448AB28902406F2AD3105E6B484063ED60FFC889024006CF1B925C6B48404B4096E2E48902408FD5EE6E5C6B48408625D7F3028A0240377BB01E5C6B4840E50D65D20A8A024080A851105C6B4840035C5192368A02404B2986395B6B4840B74DA3635D8A0240081B4A0F5A6B4840F0C0CFE0758A024002CE8E18596B4840EB47F498838A02408D3FBE64586B4840DCF391A5888A02409E2FD928586B4840F32D5B8D938A02406B34F73F576B48409895922D9F8A02408EAA9A4F566B48408B7AA3C5AD8A0240F19DB6D7546B4840ACBA54BAB08A02408196455F546B4840EC170C64B78A0240D4CB3041536B4840953FE5AABA8A024094797740516B484016A6DC2FB88A02404A4E07744F6B4840B19F9F88B08A024048F15C7A4E6B4840BA118FF9E38A02400ABECF044B6B4840,0101000020E6100000EF02D56D028A024079484155776B4840
3802531,55167,2.1470344,213,0106000020E610000001000000010300000002000000420000008CDADC0B50440240E01702C2AF6C48406AFB9C37BF4202408ED3ECC7BC6C4840FF3DCB31D04202409160B58DBD6C4840B64DA0B57E430240B7EBC475C66C4840EF1C222B9743024095BCF5B3C56C484005369062A34302404B8C2462C56C484010095E08F74202406B68A863BC6C48403B5595A74044024017A03285B16C4840AF38DCC5C9440240506D764AB86C4840B7D84A54DC43024016E040DDBF6C48400A385D9CE7430240DF37DB8BC06C4840779117140844024084742D5BC26C4840FE1A454B0F440240E475E108C26C484039E9C945574502408BA83423B86C484034700ECE1847024093EAFD8AAA6C484026853CFAEC4602402D019A67A86C48400B85385A0D47024065ECA462A76C4840FB1A03C3B0460240D244F2CFA26C484048BE0CF9A146024036CD90D5A16C4840C060EE45B14602406F91FC7BA06C4840AED056F5A04602401345A0F29F6C4840853408F812460240E49B0596986C4840F992FFAD84460240C4E6ACD3946C48406501BF486646024051B58B57936C484080DCA1B990460240FAC31B08926C484042615D125B4602402E9813188F6C4840DA71EC7F2646024018906EFD906C4840DD550C22AF450240D9CF21BA8A6C484027D2ADFA8D45024004D1740A8C6C484043C7DD636B45024000EE2F628D6C48409F31E5534F450240D36B60498E6C4840B5BF892259450240B601A62C8F6C48403EEAA38B08450240F3F561C4916C4840E2932F9F01450240A88E35C3906C48407CF1912CD7440240D39B2F1A926C484075A976C705440240089A6CDC986C48406B704DD127440240384FEB059A6C4840A666A1763A4402406ABDB7B4996C48406E8067FB5744024068C760ED9B6C48405F6D41336D440240908F60E89C6C4840635928778C440240E92E87AF9D6C48403A107CDA80440240F2B2A8819E6C4840ED1F2DBC9B440240E04D8EB99F6C4840D36D9491AB440240320646339F6C48406901FB93B94402403C920679A06C48400A7165DCCB44024023A846CEA16C4840456376B0DF44024078F5DF9BA26C4840B5493E30FE4402405A824E9FA36C48404E1C81BCE244024077A943FFA46C48406FB3E22DC3440240C5B8958BA56C4840F114AB4FA6440240794B51DCA66C48400D00166C824402408C8D089DA76C4840F86FA4056E4402409DF86629A66C4840A37CB8D758440240DFF02301A56C48400664D8762B440240C9F1EF6CA36C4840829ED9D7394402403192B104A36C484069A11A051F440240ADE6E688A16C4840BC0D0B290F440240C4E05B2DA26C4840224DEDF2FC430240BE3E2085A06C48407AFEC420EE4302406A2976B09F6C4840767D00ACE543024074F8D9279F6C4840149A93CC8343024094715A5CA26C4840F8EAC306ED43024048C5CAF0A76C48403CD42B437F44024040BE167BAF6C48406DEEEF995F44024023F41B80B06C48408CDADC0B50440240E01702C2AF6C48400D0000009F5BD5A8984502408E57CE74A96C484062926D085B4602403D1DBEC7A26C48409FAE8C4572460240E5B04652A46C4840002FA9477F460240C8DDFFA5A36C4840E27E8898B346024005D9472CA66C48403ADF6973A4460240D800CFD0A66C484092F9B351BA460240608F4F17A86C48405C67EFE2F5450240E6AB1A62AE6C4840228AF62FE24502405488A1FDAC6C4840B9F55AC3D345024098C5AE9AAD6C4840EA30E06B9F45024010E79232AB6C4840EDC6F142AF4502407327BFA4AA6C48409F5BD5A8984502408E57CE74A96C4840,0101000020E6100000EAC132EC2F440240CED48BB2966C4840
4433907,126069,31.58568586,123,0106000020E61000000100000001030000000100000005000000606A3A7E95270240228704308E6A48406845BB9A64270240636B1C6E8C6A48400647574241270240581984FA8D6A4840B7A174227227024087C982CB8F6A4840606A3A7E95270240228704308E6A4840,0101000020E610000003D4D45309280240A1150702866A4840
