id,geometry,epsg
755,POINT(2.28627333897 48.8405094854863),4326
777,POINT(2.3064948781 48.8396080935863),4326
791,POINT(2.2947579019 48.8470453506863),4326
840,POINT(2.29728541016 48.8428258373863),4326
843,POINT(2.27904388463 48.8382223334863),4326
846,POINT(2.2794899018 48.8414057484863),4326
855,POINT(2.31228715834 48.8437503196863),4326
871,POINT(2.29314496367 48.8523190291863),4326
882,POINT(2.31089947666 48.8391588972863),4326
930,POINT(2.31918621126 48.8416994574863),4326
932,POINT(2.27530582538 48.8340249437863),4326
940,POINT(2.28555111345 48.8410169968863),4326
946,POINT(2.29820062852 48.8259391880863),4326
954,POINT(2.28706361114 48.8415486354863),4326
970,POINT(2.29742219657 48.8492939476863),4326
981,POINT(2.31288497246 48.8375336997863),4326
988,POINT(2.27329184388 48.8423362673863),4326
989,POINT(2.29258612456 48.8350715702863),4326
991,POINT(2.27258933802 48.8374065208863),4326
1031,POINT(2.26932273703 48.8319111762863),4326
1044,POINT(2.2913305312 48.8468730423863),4326
1065,POINT(2.29961276927 48.8309653718863),4326
1069,POINT(2.27581548171 48.8412138313863),4326
1070,POINT(2.2965676658 48.8278788931863),4326
1081,POINT(2.31229285312 48.8416562230863),4326
1084,POINT(2.29557594594 48.8376813526863),4326
1094,POINT(2.28270978702 48.8485071494863),4326
1095,POINT(2.30080571104 48.8482436082863),4326
1132,POINT(2.2776576894 48.8379912586863),4326
1133,POINT(2.26976785391 48.8297678118863),4326
1134,POINT(2.30516626859 48.8363601305863),4326
1146,POINT(2.30378395101 48.8298629235863),4326
1163,POINT(2.30553339229 48.8471455821863),4326
1168,POINT(2.29944648349 48.8329973658863),4326
1175,POINT(2.28302510259 48.8335247075863),4326
1190,POINT(2.30697240245 48.8462688088863),4326
1205,POINT(2.27602682294 48.8417858693863),4326
1206,POINT(2.27547922656 48.8420033945863),4326
1207,POINT(2.27490719256 48.8415501982863),4326
1220,POINT(2.2899724939 48.8554902552863),4326
1247,POINT(2.27365167313 48.8287187619863),4326
1301,POINT(2.27617546916 48.8399214096863),4326
1304,POINT(2.27327039666 48.8374367064863),4326
1305,POINT(2.30574129476 48.8467663400863),4326
1307,POINT(2.32039491606 48.8440492399863),4326
1314,POINT(2.30079900071 48.8401076685863),4326
1319,POINT(2.2862633974 48.8484240844863),4326
1336,POINT(2.28475235356 48.8421489912863),4326
1342,POINT(2.30166587846 48.8441196855863),4326
1345,POINT(2.27809512906 48.8454943075863),4326
1354,POINT(2.27585412241 48.8398223325863),4326
