id,geometry,epsg
4433908,"MULTIPOLYGON(((2.29507527476741 48.8296804760538,2.29523932577568 48.8296373733446,2.29513643647385 48.829589999311,2.29509795649237 48.829614955114,2.29503917835228 48.8296298980954,2.29507527476741 48.8296804760538)))",4326
4433909,"MULTIPOLYGON(((2.3012079729853 48.8317193786011,2.30118862516699 48.8317399512088,2.30118962568414 48.8317669383394,2.30120300640656 48.8317850040425,2.30123685605839 48.8318004912051,2.30127093475846 48.8317988915498,2.30130512193811 48.8317891981336,2.30135120717171 48.8318065554935,2.30137753459887 48.831773432365,2.30132195026779 48.8317533213957,2.30131130592964 48.8317343723149,2.3012870518385 48.8317144443491,2.30123806152597 48.8317105606328,2.3012079729853 48.8317193786011)))",4326
4433910,"MULTIPOLYGON(((2.27586529913458 48.8346606849355,2.27595255971928 48.8348518809808,2.27698792169861 48.8346584824973,2.2772680068432 48.8346008163992,2.27718393073972 48.834474395647,2.27709492022363 48.834409102599,2.27699333787498 48.8343662178995,2.27688885654726 48.8343359068569,2.27679232422725 48.8343218325644,2.27669685471747 48.8343293496592,2.27660674680325 48.8343431947415,2.27634663409374 48.8344342570727,2.27638529038923 48.834495648549,2.27599332532371 48.8345652266848,2.27601833378338 48.8346283344142,2.27586529913458 48.8346606849355)))",4326
4433911,"MULTIPOLYGON(((2.2765600326184 48.8337826004378,2.27623536070927 48.8339119452635,2.27629036332524 48.833973435716,2.27662043449449 48.8338477209094,2.2765600326184 48.8337826004378)))",4326
4433912,"MULTIPOLYGON(((2.27445759591219 48.8349813258964,2.27370080989424 48.8351269287296,2.27373762518318 48.8352224861561,2.27366116269323 48.8352346131234,2.27368218208534 48.8352905020856,2.27442122350622 48.8351474898639,2.2743987534846 48.8350978878623,2.27454904076564 48.8350673213059,2.2745332317813 48.835028552242,2.27447724127489 48.8350381057685,2.27445759591219 48.8349813258964)))",4326
4433914,"MULTIPOLYGON(((2.3033446847968 48.8368699666621,2.30340229869972 48.8368406229323,2.30348049584527 48.8369022355882,2.30361082912775 48.8368346421982,2.30368362529663 48.8368926257888,2.30374261336278 48.8368623905243,2.3036455598186 48.8367844795709,2.3032308272452 48.83682613363,2.30333331749677 48.836904975957,2.3033446847968 48.8368699666621)))",4326
4433915,"MULTIPOLYGON(((2.27023695832157 48.837024213946,2.27007480501833 48.8370259226673,2.27008179735608 48.8372076390974,2.27014098856889 48.8374562277479,2.2702884597749 48.8374328443677,2.27024386308975 48.837212225454,2.27023695832157 48.837024213946)))",4326
4433916,"MULTIPOLYGON(((2.29150651056981 48.8380784413485,2.29161504605045 48.838112360923,2.29172460227895 48.8379709088914,2.29162150416978 48.8379379209835,2.29150651056981 48.8380784413485)))",4326
4433917,"MULTIPOLYGON(((2.30398604641539 48.8370994426476,2.3040450225327 48.8370701065414,2.30395233131714 48.836971535689,2.30389981337539 48.8369253621129,2.30381069816674 48.8369671139403,2.30398604641539 48.8370994426476)))",4326
4433918,"MULTIPOLYGON(((2.31154662787135 48.8403647387641,2.31165180309679 48.8404480858944,2.31175057359959 48.8403973902282,2.31163317228068 48.8403112747222,2.31154662787135 48.8403647387641)))",4326
4433919,"MULTIPOLYGON(((2.3033446847968 48.8368699666621,2.30348750409575 48.8369895154576,2.30358586003018 48.8370719309651,2.30369140754155 48.8370239793634,2.30381069816674 48.8369671139403,2.30389981337539 48.8369253621129,2.30382303807212 48.8368592611519,2.30378926844961 48.836837479678,2.30374261336278 48.8368623905243,2.30368362529663 48.8368926257888,2.30361082912775 48.8368346421982,2.30348049584527 48.8369022355882,2.30340229869972 48.8368406229323,2.3033446847968 48.8368699666621)))",4326
4433920,"MULTIPOLYGON(((2.27944110438598 48.8422792836858,2.27937950796136 48.8422995981586,2.27941309684855 48.842333976546,2.27889927691924 48.8425404335613,2.27895415492545 48.8426118145558,2.27953507141036 48.8423814784441,2.27944110438598 48.8422792836858)))",4326
4433921,"MULTIPOLYGON(((2.28342219433929 48.8426998189704,2.2835926933559 48.8428852108083,2.28365845040414 48.8428595228827,2.28348930133934 48.8426750385898,2.28342219433929 48.8426998189704)))",4326
4433922,"MULTIPOLYGON(((2.28348930133934 48.8426750385898,2.28365845040414 48.8428595228827,2.28368664203136 48.8428902702386,2.28382089327988 48.8428380112659,2.28363182590184 48.8426156344205,2.28348930133934 48.8426750385898)))",4326
4433923,"MULTIPOLYGON(((2.28342219433929 48.8426998189704,2.28332082775348 48.8427387839786,2.28339077337035 48.8428048569407,2.28336613764674 48.8428128036843,2.28350430836511 48.8429710208937,2.2836235728176 48.8429186723818,2.2835926933559 48.8428852108083,2.28342219433929 48.8426998189704)))",4326
4433924,"MULTIPOLYGON(((2.31747456954192 48.8426804016929,2.31787311398162 48.8423166329807,2.31800451956306 48.8423749416186,2.31808996885014 48.8423007813597,2.31779744306771 48.8421642086076,2.31770385415353 48.8422356241452,2.31774853276383 48.8422574637482,2.31743124512852 48.8425551426559,2.31739195737031 48.8425378305311,2.31732022562551 48.8426048736395,2.31747456954192 48.8426804016929)))",4326
4433925,"MULTIPOLYGON(((2.29047221015784 48.8504035343555,2.29045362606883 48.8504672788628,2.2904713040439 48.8504700817846,2.29043598826162 48.8505616072875,2.29067104507964 48.8506133653338,2.29074062712578 48.8506074822979,2.29061260831922 48.8509017140534,2.29081809146507 48.8506232306309,2.29077925932975 48.8505726361813,2.29072084800915 48.850558799496,2.29076824372415 48.8504808359509,2.29047221015784 48.8504035343555)))",4326
4433926,"MULTIPOLYGON(((2.29136881793515 48.850811762225,2.2914864661943 48.8508790117286,2.29156336317473 48.8508362976989,2.29171223753014 48.8508119969673,2.29172254002245 48.8508561266811,2.29174717827414 48.8508481782741,2.29182646424514 48.8509304894949,2.29192070928165 48.8509148587678,2.29205041411099 48.8507969105517,2.29205069511623 48.8507762268941,2.29191541114995 48.8508033065613,2.29189864950248 48.850733057144,2.29181799489854 48.8507514663812,2.29169289748449 48.8507309399145,2.29160710995794 48.8507259352154,2.29141498474805 48.850723898187,2.29136881793515 48.850811762225)))",4326
4433927,"MULTIPOLYGON(((2.28894575318452 48.8314384502873,2.289471191907 48.8319677087587,2.28980579521098 48.831806009441,2.28982504953322 48.8317926331124,2.28992481954464 48.831768942302,2.29003028314754 48.8317272976603,2.29014270442942 48.8316749016924,2.29021967214077 48.8316249933539,2.29023615295817 48.8316151980079,2.29032636272174 48.8315932488818,2.29044955841148 48.8315499103281,2.29054969484445 48.8314992398467,2.29062397427417 48.8314466171652,2.29074460408949 48.8313915711792,2.29084845942774 48.8313679038236,2.29096895427503 48.8313227499627,2.29107040301529 48.8312756843307,2.29113917178897 48.8312275255473,2.291158413327 48.8312150483022,2.29126639130404 48.8311887068841,2.29138143671518 48.8311435203123,2.29147472397456 48.8310955066001,2.29154209330926 48.8310500374236,2.29157499297141 48.8310349428814,2.29181043328314 48.8309517957258,2.29127814586857 48.8304243053038,2.29123431265251 48.8304420331114,2.29121283621626 48.8304185220015,2.29034146759552 48.830783898566,2.28983576948645 48.8310057413685,2.28904363259094 48.8313535912832,2.28907320787189 48.8313825471738,2.28894575318452 48.8314384502873)))",4326
4433928,"MULTIPOLYGON(((2.26750825412509 48.8312865934196,2.26757292027978 48.8312411210689,2.26749319708725 48.8311947644369,2.26742856883388 48.8312375388384,2.26750825412509 48.8312865934196)))",4326
4433929,"MULTIPOLYGON(((2.27446332179104 48.8314378123569,2.27434583717068 48.8314613828366,2.27439521103589 48.8315354314802,2.27450598506707 48.831504625214,2.27446332179104 48.8314378123569)))",4326
4433930,"MULTIPOLYGON(((2.27666197263752 48.8318360639869,2.27671168704831 48.831885830466,2.27677330963794 48.8318628192683,2.27678270766617 48.8318727692617,2.27681831153142 48.8318594938701,2.2768075388415 48.8318504349459,2.27682537195519 48.8318415489898,2.27682828345377 48.8318280759153,2.27682310920041 48.8318082582998,2.2768083248374 48.8317937788465,2.27678118105614 48.8317864196848,2.27674842636249 48.8317907185091,2.27673765369892 48.831781659578,2.27670208730012 48.8317922370369,2.27671544706458 48.8318112047814,2.27666197263752 48.8318360639869)))",4326
