id,geometry,epsg
265953,POINT(2.3208563 48.8415058999863),4326
265954,POINT(2.320906 48.8414704999863),4326
265955,POINT(2.3207598 48.8414334999863),4326
268154,POINT(2.2964137 48.8374620999863),4326
268155,POINT(2.2963474 48.8375006999863),4326
268156,POINT(2.2962793 48.8375409999863),4326
268160,POINT(2.2975212 48.8491202999863),4326
268161,POINT(2.2974567 48.8491372999863),4326
268162,POINT(2.2974029 48.8491537999863),4326
268163,POINT(2.2973367 48.8491740999863),4326
268164,POINT(2.2972699 48.8491960999863),4326
268165,POINT(2.2972118 48.8492142999863),4326
268166,POINT(2.2976734 48.8492149999863),4326
268167,POINT(2.2971429 48.8492359999863),4326
268168,POINT(2.2976023 48.8492369999863),4326
268169,POINT(2.2970821 48.8492545999863),4326
268170,POINT(2.2975415 48.8492562999863),4326
268171,POINT(2.2974839 48.8492737999863),4326
268172,POINT(2.2970218 48.8492741999863),4326
268173,POINT(2.2969626 48.8492919999863),4326
268174,POINT(2.2974199 48.8492940999863),4326
268175,POINT(2.2973612 48.8493132999863),4326
268176,POINT(2.2968975 48.8493133999863),4326
268177,POINT(2.2968345 48.8493332999863),4326
268178,POINT(2.297295 48.8493342999863),4326
268179,POINT(2.2972326 48.8493535999863),4326
268180,POINT(2.2967704 48.8493539999863),4326
268181,POINT(2.2971701 48.8493738999863),4326
268182,POINT(2.2967048 48.8493745999863),4326
268183,POINT(2.2966472 48.8493934999863),4326
268184,POINT(2.296587 48.8494116999863),4326
268185,POINT(2.2970453 48.8494122999863),4326
268186,POINT(2.2965196 48.8494319999863),4326
268187,POINT(2.2969807 48.8494329999863),4326
268188,POINT(2.2964588 48.8494508999863),4326
268189,POINT(2.296921 48.8494514999863),4326
268190,POINT(2.2963948 48.8494718999863),4326
268191,POINT(2.2968542 48.8494724999863),4326
268192,POINT(2.2963356 48.8494907999863),4326
268193,POINT(2.2967917 48.8494935999863),4326
268194,POINT(2.2967336 48.8495113999863),4326
268195,POINT(2.2962688 48.8495117999863),4326
268196,POINT(2.2966685 48.8495319999863),4326
268197,POINT(2.2962064 48.8495323999863),4326
268198,POINT(2.296611 48.8495498999863),4326
268199,POINT(2.2961467 48.8495501999863),4326
268200,POINT(2.2960794 48.8495715999863),4326
268201,POINT(2.2965404 48.8495725999863),4326
268202,POINT(2.2964834 48.8495907999863),4326
268203,POINT(2.2960158 48.8495914999863),4326
268204,POINT(2.2959584 48.8496104999863),4326
268205,POINT(2.2964139 48.8496113999863),4326
268206,POINT(2.2963596 48.8496296999863),4326
268207,POINT(2.2962966 48.8496488999863),4326
268208,POINT(2.295774 48.8496683999863),4326
268209,POINT(2.2962347 48.8496695999863),4326
268210,POINT(2.2961723 48.8496880999863),4326
268211,POINT(2.2957034 48.8496897999863),4326
268212,POINT(2.2961082 48.8497088999863),4326
268213,POINT(2.2956426 48.8497103999863),4326
268214,POINT(2.2955824 48.8497282999863),4326
268215,POINT(2.2960453 48.8497286999863),4326
268216,POINT(2.2955216 48.8497470999863),4326
268217,POINT(2.2954629 48.8497656999863),4326
268218,POINT(2.2958635 48.8497820999863),4326
268219,POINT(2.2953994 48.8497855999863),4326
268220,POINT(2.2953402 48.8498051999863),4326
268221,POINT(2.2957975 48.8498062999863),4326
268222,POINT(2.2957366 48.8498268999863),4326
268223,POINT(2.2952707 48.8498272999863),4326
268224,POINT(2.2956715 48.8498461999863),4326
268225,POINT(2.2952056 48.8498471999863),4326
268226,POINT(2.2956172 48.8498625999863),4326
268227,POINT(2.2955526 48.8498831999863),4326
268228,POINT(2.2954831 48.8499055999863),4326
268229,POINT(2.2954261 48.8499227999863),4326
268230,POINT(2.2953599 48.8499444999863),4326
268231,POINT(2.2948889 48.8499480999863),4326
268232,POINT(2.2948397 48.8499644999863),4326
268233,POINT(2.2952947 48.8499647999863),4326
268234,POINT(2.2947622 48.8499886999863),4326
268235,POINT(2.294713 48.8500034999863),4326
268236,POINT(2.2946493 48.8500247999863),4326
268237,POINT(2.2945856 48.8500455999863),4326
268238,POINT(2.2949759 48.8500656999863),4326
268239,POINT(2.2949244 48.8500814999863),4326
268240,POINT(2.2948576 48.8501042999863),4326
268241,POINT(2.2947993 48.8501220999863),4326
268242,POINT(2.2947371 48.8501418999863),4326
268243,POINT(2.2946718 48.8501626999863),4326
268244,POINT(2.2946188 48.8501794999863),4326
268245,POINT(2.2945482 48.8502017999863),4326
268459,POINT(2.2923084 48.8311245999863),4326
268460,POINT(2.2922262 48.8311766999863),4326
268461,POINT(2.2921673 48.8312021999863),4326
268462,POINT(2.2921114 48.8312307999863),4326
268463,POINT(2.2920665 48.8312552999863),4326
269827,POINT(2.3213202 48.8412447999863),4326
269828,POINT(2.3214745 48.8413329999863),4326
269829,POINT(2.3209975 48.8418857999863),4326
269830,POINT(2.3211772 48.8419987999863),4326
269831,POINT(2.3212136 48.8419925999863),4326
269832,POINT(2.3212136 48.8420278999863),4326
269833,POINT(2.3210471 48.8418557999863),4326
270580,POINT(2.2904095 48.8367380999863),4326
270581,POINT(2.2903439 48.8365861999863),4326
270582,POINT(2.2902232 48.8365861999863),4326
270583,POINT(2.290195 48.8366355999863),4326
270584,POINT(2.2902178 48.8367062999863),4326
270585,POINT(2.2904189 48.8367610999863),4326
270586,POINT(2.290187 48.8366744999863),4326
270587,POINT(2.290332 48.8366682999863),4326
270588,POINT(2.2903733 48.8367292999863),4326
270589,POINT(2.2903506 48.8367026999863),4326
270590,POINT(2.2903278 48.8366285999863),4326
270591,POINT(2.2902621 48.8368235999863),4326
270592,POINT(2.2903465 48.8371352999863),4326
270593,POINT(2.2905195 48.8370963999863),4326
270594,POINT(2.2904951 48.8370509999863),4326
270595,POINT(2.2903588 48.8369638999863),4326
270596,POINT(2.2905157 48.8371782999863),4326
270597,POINT(2.290367 48.8370311999863),4326
270598,POINT(2.2904432 48.8371968999863),4326
270599,POINT(2.290361 48.8370006999863),4326
270600,POINT(2.290293 48.8371615999863),4326
270601,POINT(2.2904481 48.8370262999863),4326
270602,POINT(2.2903574 48.8371853999863),4326
270603,POINT(2.2903196 48.8370804999863),4326
270604,POINT(2.2903492 48.8369188999863),4326
270605,POINT(2.2905584 48.8372030999863),4326
270606,POINT(2.2904511 48.8371502999863),4326
270607,POINT(2.2903934 48.8369145999863),4326
270608,POINT(2.2904364 48.8368015999863),4326
270609,POINT(2.2905584 48.8368668999863),4326
270610,POINT(2.2903813 48.8368405999863),4326
270611,POINT(2.2905034 48.8369251999863),4326
270612,POINT(2.290518 48.8368113999863),4326
270613,POINT(2.290249 48.8363279999863),4326
270614,POINT(2.2901758 48.8364320999863),4326
270615,POINT(2.2903523 48.8361094999863),4326
270616,POINT(2.2900437 48.8363098999863),4326
270617,POINT(2.2903053 48.8361385999863),4326
270618,POINT(2.2902584 48.8361676999862),4326
270619,POINT(2.290127 48.8362586999863),4326
270620,POINT(2.2901685 48.8362304999863),4326
270621,POINT(2.2902115 48.8361977999863),4326
270622,POINT(2.2900894 48.8362850999863),4326
270623,POINT(2.2909902 48.8372262999863),4326
270624,POINT(2.2908601 48.8372491999863),4326
270625,POINT(2.2910171 48.8371926999863),4326
270626,POINT(2.2907985 48.8372288999863),4326
270627,POINT(2.2907502 48.8371856999863),4326
270628,POINT(2.290891 48.8371388999863),4326
270629,POINT(2.2909312 48.8371493999863),4326
270630,POINT(2.2907582 48.8371440999863),4326
270631,POINT(2.2909862 48.8371123999863),4326
270632,POINT(2.2909461 48.8372455999863),4326
270633,POINT(2.2907904 48.8371122999863),4326
270634,POINT(2.2909205 48.8371811999863),4326
270635,POINT(2.29093 48.8370884999863),4326
270636,POINT(2.2908829 48.8372058999863),4326
270637,POINT(2.2908521 48.8371555999863),4326
270638,POINT(2.2908454 48.8371882999863),4326
270639,POINT(2.2910157 48.8371520999863),4326
270640,POINT(2.2908575 48.8370876999863),4326
270641,POINT(2.2905877 48.8370027999863),4326
270642,POINT(2.2906427 48.8370805999863),4326
270643,POINT(2.2905998 48.8370566999863),4326
270644,POINT(2.290695 48.8370593999863),4326
270645,POINT(2.2906266 48.8371449999863),4326
270646,POINT(2.290577 48.8370884999863),4326
270647,POINT(2.2905301 48.8369993999863),4326
270648,POINT(2.2905515 48.8370601999863),4326
270649,POINT(2.2905743 48.8371255999863),4326
270650,POINT(2.290644 48.8370063999863),4326
270651,POINT(2.290699 48.8370054999863),4326
270652,POINT(2.2911051 48.8368619999863),4326
270653,POINT(2.2909736 48.8368469999863),4326
270654,POINT(2.2911212 48.8369193999863),4326
270655,POINT(2.2910675 48.8369749999863),4326
270656,POINT(2.2910407 48.8368399999863),4326
270657,POINT(2.2909106 48.8368875999863),4326
270658,POINT(2.290928 48.8369422999863),4326
270659,POINT(2.2909817 48.8369784999863),4326
270660,POINT(2.2912432 48.8367057999863),4326
270661,POINT(2.2911332 48.8367507999863),4326
270662,POINT(2.2911641 48.8368036999863),4326
270663,POINT(2.2913144 48.8367559999863),4326
270664,POINT(2.2911803 48.8367180999863),4326
270756,POINT(2.2831309 48.8417037999863),4326
270867,POINT(2.2909392 48.8366811999863),4326
270868,POINT(2.2908386 48.8367036999863),4326
270869,POINT(2.2906992 48.8366594999863),4326
270870,POINT(2.2908903 48.8366978999863),4326
270871,POINT(2.290789 48.8366978999863),4326
270872,POINT(2.2907367 48.8366828999863),4326
270873,POINT(2.2906049 48.8367176999863),4326
270874,POINT(2.2906451 48.8366889999863),4326
270875,POINT(2.2906766 48.8366637999863),4326
270876,POINT(2.2905593 48.8367405999863),4326
271466,POINT(2.2923029 48.8362591999863),4326
271467,POINT(2.2922613 48.8362555999863),4326
275448,POINT(2.27978 48.8499659999863),4326
275455,POINT(2.279841 48.8499979999863),4326
275598,POINT(2.280652 48.8506599999863),4326
275604,POINT(2.280702 48.8506929999863),4326
275612,POINT(2.280748 48.8507249999863),4326
275619,POINT(2.280794 48.8507579999863),4326
275627,POINT(2.280842 48.8507909999863),4326
275637,POINT(2.28089 48.8508229999863),4326
275647,POINT(2.280937 48.8508569999863),4326
275670,POINT(2.281137 48.8510019999863),4326
275677,POINT(2.281216 48.8510539999863),4326
275683,POINT(2.281263 48.8510869999863),4326
275688,POINT(2.281308 48.8511189999863),4326
275694,POINT(2.281354 48.8511539999863),4326
275700,POINT(2.281401 48.8511849999863),4326
275708,POINT(2.281495 48.8512519999863),4326
275712,POINT(2.281541 48.8512839999863),4326
275719,POINT(2.281609 48.8513319999863),4326
275726,POINT(2.281684 48.8513849999863),4326
275733,POINT(2.281776 48.8514499999863),4326
275736,POINT(2.281824 48.8514839999863),4326
275741,POINT(2.281873 48.8515179999863),4326
275749,POINT(2.281965 48.8515829999863),4326
275754,POINT(2.282011 48.8516159999863),4326
275758,POINT(2.282058 48.8516479999863),4326
275767,POINT(2.282148 48.8517139999863),4326
275777,POINT(2.282252 48.8517849999863),4326
275787,POINT(2.282346 48.8518429999863),4326
275795,POINT(2.282434 48.8519049999863),4326
275803,POINT(2.282536 48.8519729999863),4326
275807,POINT(2.282583 48.8520009999863),4326
275814,POINT(2.282653 48.8520509999863),4326
275817,POINT(2.282692 48.8520789999863),4326
275826,POINT(2.282781 48.8521379999863),4326
275834,POINT(2.28285 48.8521899999863),4326
275855,POINT(2.283082 48.8523539999863),4326
275859,POINT(2.283111 48.8523769999863),4326
275862,POINT(2.283148 48.8523989999863),4326
275868,POINT(2.283199 48.8524409999863),4326
275875,POINT(2.283254 48.8524819999863),4326
275883,POINT(2.283311 48.8525229999863),4326
275893,POINT(2.283371 48.8525669999863),4326
275902,POINT(2.283433 48.8526109999863),4326
275907,POINT(2.28347 48.8526359999863),4326
275911,POINT(2.283519 48.8526719999863),4326
275918,POINT(2.283608 48.8527369999863),4326
275922,POINT(2.283651 48.8527699999863),4326
275925,POINT(2.283697 48.8528029999863),4326
275928,POINT(2.283743 48.8528379999863),4326
275931,POINT(2.283791 48.8528719999863),4326
275935,POINT(2.283839 48.8529029999863),4326
275937,POINT(2.283882 48.8529389999863),4326
275941,POINT(2.283976 48.8530019999863),4326
275945,POINT(2.284022 48.8530349999863),4326
275947,POINT(2.284069 48.8530689999863),4326
275953,POINT(2.284116 48.8531019999863),4326
275957,POINT(2.284162 48.8531349999863),4326
275962,POINT(2.284209 48.8531669999863),4326
275969,POINT(2.284302 48.8532319999863),4326
275973,POINT(2.284399 48.8533029999863),4326
275975,POINT(2.284447 48.8533349999863),4326
275982,POINT(2.284542 48.8533969999863),4326
275985,POINT(2.284588 48.8534379999863),4326
275994,POINT(2.284658 48.8534879999863),4326
275998,POINT(2.284709 48.8535229999863),4326
276003,POINT(2.284769 48.8535659999863),4326
276006,POINT(2.284812 48.8535959999863),4326
276009,POINT(2.284865 48.8536329999863),4326
276012,POINT(2.284958 48.8536959999863),4326
276016,POINT(2.285002 48.8537269999863),4326
276020,POINT(2.285052 48.8537609999863),4326
276024,POINT(2.285099 48.8537949999863),4326
276028,POINT(2.285147 48.8538299999863),4326
276031,POINT(2.285193 48.8538619999863),4326
276036,POINT(2.28525 48.8539029999863),4326
276040,POINT(2.285305 48.8539409999863),4326
276045,POINT(2.285362 48.8539809999863),4326
276052,POINT(2.285415 48.8540179999863),4326
276057,POINT(2.285473 48.8540559999863),4326
276064,POINT(2.285562 48.8541219999863),4326
276069,POINT(2.285615 48.8541629999863),4326
276072,POINT(2.285656 48.8541869999863),4326
276076,POINT(2.285702 48.8542209999863),4326
276079,POINT(2.285749 48.8542549999863),4326
276081,POINT(2.285793 48.8542849999863),4326
276084,POINT(2.285841 48.8543199999863),4326
276087,POINT(2.285886 48.8543529999863),4326
276089,POINT(2.285935 48.8543839999863),4326
276092,POINT(2.285982 48.8544189999863),4326
276095,POINT(2.286032 48.8544529999863),4326
276098,POINT(2.286078 48.8544849999863),4326
276101,POINT(2.286123 48.8545149999863),4326
276106,POINT(2.286168 48.8545479999863),4326
276115,POINT(2.28626 48.8546129999863),4326
276123,POINT(2.286354 48.8546799999863),4326
276125,POINT(2.286401 48.8547129999863),4326
276130,POINT(2.28647 48.8547639999863),4326
276137,POINT(2.286542 48.8548109999863),4326
276142,POINT(2.286585 48.8548429999863),4326
276149,POINT(2.286679 48.8549079999863),4326
276154,POINT(2.286728 48.8549409999863),4326
276159,POINT(2.286778 48.8549779999863),4326
